,continent,region,population,government_form,capital
133,Africa,Eastern Africa,15942000,Federal Republic,2455.0
134,Asia,Southern and Central Asia,286000,Republic,2463.0
135,North America,Central America,98881000,Federal Republic,2515.0
136,Oceania,Micronesia,64000,Republic,2507.0
137,Europe,Southern Europe,2024000,Republic,2460.0
138,Africa,Western Africa,11234000,Republic,2482.0
139,Europe,Southern Europe,380200,Republic,2484.0
140,Asia,Southeast Asia,45611000,Republic,2710.0
141,Asia,Eastern Asia,2662000,Republic,2696.0
142,Oceania,Micronesia,78000,Commonwealth of the uS,2913.0
143,Africa,Eastern Africa,19680000,Republic,2698.0
144,Africa,Western Africa,2670000,Republic,2509.0
145,North America,Caribbean,11000,Dependent Territory of the uK,2697.0
146,North America,Caribbean,395000,Overseas Department of France,2508.0
147,Africa,Eastern Africa,1158000,Republic,2511.0
148,Africa,Eastern Africa,10925000,Republic,2462.0
149,Asia,Southeast Asia,22244000,"Constitutional Monarchy, Federation",2464.0
150,Africa,Eastern Africa,149000,Territorial Collectivity of France,2514.0
151,Africa,Southern Africa,1726000,Republic,2726.0
152,Oceania,Melanesia,214000,Nonmetropolitan Territory of France,3493.0
153,Africa,Western Africa,10730000,Republic,2738.0
154,Oceania,Australia and New Zealand,2000,Territory of Australia,2806.0
155,Africa,Western Africa,111506000,Federal Republic,2754.0
156,North America,Central America,5074000,Republic,2734.0
157,Oceania,Polynesia,2000,Nonmetropolitan Territory of New Zealand,2805.0
158,Europe,Western Europe,15864000,Constitutional Monarchy,5.0
159,Europe,Nordic Countries,4478500,Constitutional Monarchy,2807.0
160,Asia,Southern and Central Asia,23930000,Constitutional Monarchy,2729.0
161,Oceania,Micronesia,12000,Republic,2728.0
162,Oceania,Australia and New Zealand,3862000,Constitutional Monarchy,3499.0
163,Asia,Middle East,2542000,Monarchy (Sultanate),2821.0
164,Asia,Southern and Central Asia,156483000,Republic,2831.0
165,North America,Central America,2856000,Republic,2882.0
166,Oceania,Polynesia,50,Dependent Territory of the uK,2912.0
167,South America,South America,25662000,Republic,2890.0
168,Asia,Southeast Asia,75967000,Republic,766.0
169,Oceania,Micronesia,19000,Republic,2881.0
170,Oceania,Melanesia,4807000,Constitutional Monarchy,2884.0
171,Europe,Eastern Europe,38653600,Republic,2928.0
172,North America,Caribbean,3869000,Commonwealth of the uS,2919.0
173,Asia,Eastern Asia,24039000,Socialistic Republic,2318.0
174,Europe,Southern Europe,9997600,Republic,2914.0
175,South America,South America,5496000,Republic,2885.0
176,Asia,Middle East,3101000,Autonomous Area,4074.0
177,Oceania,Polynesia,235000,Nonmetropolitan Territory of France,3016.0
178,Asia,Middle East,599000,Monarchy,2973.0
179,Africa,Eastern Africa,699000,Overseas Department of France,3017.0
180,Europe,Eastern Europe,22455500,Republic,3018.0
181,Europe,Eastern Europe,146934000,Federal Republic,3580.0
182,Africa,Eastern Africa,7733000,Republic,3047.0
183,Asia,Middle East,21607000,Monarchy,3173.0
184,Africa,Northern Africa,29490000,Islamic Republic,3225.0
185,Africa,Western Africa,9481000,Republic,3198.0
186,Asia,Southeast Asia,3567000,Republic,3208.0
187,Antarctica,Antarctica,0,Dependent Territory of the uK,
188,Africa,Western Africa,6000,Dependent Territory of the uK,3063.0
189,Europe,Nordic Countries,3200,Dependent Territory of Norway,938.0
190,Oceania,Melanesia,444000,Constitutional Monarchy,3161.0
191,Africa,Western Africa,4854000,Republic,3207.0
192,North America,Central America,6276000,Republic,645.0
193,Europe,Southern Europe,27000,Republic,3171.0
194,Africa,Eastern Africa,10097000,Republic,3214.0
195,North America,North America,7000,Territorial Collectivity of France,3067.0
196,Africa,Central Africa,147000,Republic,3172.0
197,South America,South America,417000,Republic,3243.0
198,Europe,Eastern Europe,5398700,Republic,3209.0
199,Europe,Southern Europe,1987800,Republic,3212.0
200,Europe,Nordic Countries,8861400,Constitutional Monarchy,3048.0
201,Africa,Southern Africa,1008000,Monarchy,3244.0
202,Africa,Eastern Africa,77000,Republic,3206.0
203,Asia,Middle East,16125000,Republic,3250.0
204,North America,Caribbean,17000,Dependent Territory of the uK,3423.0
205,Africa,Central Africa,7651000,Republic,3337.0
206,Africa,Western Africa,4629000,Republic,3332.0
207,Asia,Southeast Asia,61399000,Constitutional Monarchy,3320.0
208,Asia,Southern and Central Asia,6188000,Republic,3261.0
209,Oceania,Polynesia,2000,Nonmetropolitan Territory of New Zealand,3333.0
210,Asia,Southern and Central Asia,4459000,Republic,3419.0
211,Asia,Southeast Asia,885000,Administrated by the uN,1522.0
212,Oceania,Polynesia,99000,Monarchy,3334.0
213,North America,Caribbean,1295000,Republic,3336.0
214,Africa,Northern Africa,9586000,Republic,3349.0
215,Asia,Middle East,66591000,Republic,3358.0
216,Oceania,Polynesia,12000,Constitutional Monarchy,3424.0
217,Asia,Eastern Asia,22256000,Republic,3263.0
218,Africa,Eastern Africa,33517000,Republic,3306.0
219,Africa,Eastern Africa,21778000,Republic,3425.0
220,Europe,Eastern Europe,50456000,Republic,3426.0
221,Oceania,Micronesia/Caribbean,0,Dependent Territory of the uS,
